Cites;Authors;title;Year;Source;Publisher;ArticleURL;CitesURL;GSRank;QueryDate;Type;DOI;ISSN;CitationURL;Volume;Issue;StartPage;EndPage;ECC;CitesPerYear;CitesPerAuthor;AuthorCount;Age;Abstract;FullTextURL;RelatedURL
3630;M Nicola, Z Alsafi, C Sohrabi, A Kerwan, ...;the socio-economic implications of the coronavirus pandemic covid-19 a review;2020;International journal of …;Elsevier;https://www.sciencedirect.com/science/article/pii/S1743919120303162;https://scholar.google.com/scholar?cites=5284492118368810372&as_sdt=2005&sciodt=2007&hl=en;52;15.12.2021 06:53;;;;;;;;;3630;363000;726;5;1;The COVID-19 pandemic has resulted in over 4.3 million confirmed cases and over 290,000 deaths globally. It has also sparked fears of an impending economic crisis and recession. Social distancing, self-isolation and travel restrictions have lead to a reduced workforce …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7162753/;https://scholar.google.com/scholar?q=related:hHW5TZVJVkkJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:economic&hl=en&as_sdt=2007
1299;N Fernandes;economic effects of coronavirus outbreak covid-19 on the world economy;2020;Available at SSRN 3557504;papers.ssrn.com;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3557504;https://scholar.google.com/scholar?cites=9300836002774884715&as_sdt=2005&sciodt=2007&hl=en;58;15.12.2021 06:53;;;;;;;;;1299;129900;1299;1;1;… This report discusses the economic impact of the COVID-19 crisis across industries, and countries. It discusses the economic channels through which economic activity will be impacted. And the asymmetric results across countries and industries. It also attempts a …;http://webmail.khazar.org/bitstream/20.500.12323/4496/1/Economic%20Effects%20of%20Coronavirus%20Outbreak.pdf;https://scholar.google.com/scholar?q=related:a6GPCxE1E4EJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:economic&hl=en&as_sdt=2007
907;A Atkeson;what will be the economic impact of covid-19 in the us rough estimates of disease scenarios;2020;;nber.org;https://www.nber.org/papers/w26867;https://scholar.google.com/scholar?cites=8620653113242919092&as_sdt=2005&sciodt=2007&hl=en;60;15.12.2021 06:53;;;;;;;;;907;90700;907;1;1;This note is intended to introduce economists to a simple SIR model of the progression of COVID-19 in the United States over the next 12-18 months. An SIR model is a Markov model of the spread of an epidemic in a population in which the total population is divided into …;https://www.nber.org/system/files/working_papers/w26867/w26867.pdf;https://scholar.google.com/scholar?q=related:tKC1ElW2oncJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:economic&hl=en&as_sdt=2007
826;PK Ozili, T Arun;spillover of covid-19 impact on the global economy;2020;Available at SSRN 3562570;papers.ssrn.com;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3562570;https://scholar.google.com/scholar?cites=2381350651262066158&as_sdt=2005&sciodt=2007&hl=en;15;15.12.2021 06:32;;;;;;;;;826;82600;413;2;1;How did a health crisis translate to an economic crisis? Why did the spread of the coronavirus bring the global economy to its knees? The answer lies in two methods by …;https://mpra.ub.uni-muenchen.de/99850/1/MPRA_paper_99850.pdf;https://scholar.google.com/scholar?q=related:7t0e5sxBDCEJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:economy&hl=en&as_sdt=2007
517;G Bonaccorsi, F Pierri, M Cinelli, ...;economic and social consequences of human mobility restrictions under covid-19;2020;Proceedings of the …;National Acad Sciences;https://www.pnas.org/content/117/27/15530.short;https://scholar.google.com/scholar?cites=16446747963700818491&as_sdt=2005&sciodt=2007&hl=en;105;15.12.2021 06:53;;;;;;;;;517;51700;129;4;1;In response to the coronavirus disease 2019 (COVID-19) pandemic, several national governments have applied lockdown restrictions to reduce the infection rate. Here we perform a massive analysis on near–real-time Italian mobility data provided by Facebook to …;https://www.pnas.org/content/pnas/117/27/15530.full.pdf;https://scholar.google.com/scholar?q=related:OzLEZiKWPuQJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:economic&hl=en&as_sdt=2007
498;A Sharif, C Aloui, L Yarovaya;covid-19 pandemic oil prices stock market geopolitical risk and policy uncertainty nexus in the us economy fresh evidence from the wavelet-based approach;2020;International Review of Financial Analysis;Elsevier;https://www.sciencedirect.com/science/article/pii/S105752192030140X;https://scholar.google.com/scholar?cites=12372275197498670715&as_sdt=2005&sciodt=2007&hl=en;39;15.12.2021 06:32;;;;;;;;;498;49800;166;3;1;In this paper, we analyze the connectedness between the recent spread of COVID-19, oil price volatility shock, the stock market, geopolitical risk and economic policy uncertainty in …;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7227524/;https://scholar.google.com/scholar?q=related:e75Isr0ms6sJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:economy&hl=en&as_sdt=2007
415;W McKibbin, R Fernando;the economic impact of covid-19;2020;Economics in the Time of COVID-19;ihu.ac.ir;http://www.ihu.ac.ir/uploads/coronavirus-covid-19%20economy.pdf#page=52;https://scholar.google.com/scholar?cites=10583892624707891585&as_sdt=2005&sciodt=2007&hl=en;4;15.12.2021 06:53;PDF;;;;;;;;415;41500;208;2;1;The COVID-19 outbreak was triggered in December 2019 in the city of Wuhan, which is in the Hubei province of China. The virus continues to spread across the world. Although the epicentre of the outbreak was initially China, with reported cases either in China or in …;http://www.ihu.ac.ir/uploads/coronavirus-covid-19%20economy.pdf#page=52;https://scholar.google.com/scholar?q=related:gTGXLESK4ZIJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:economic&hl=en&as_sdt=2007
369;M McKee, D Stuckler;if the world fails to protect the economy covid-19 will damage health not just now but also in the future;2020;Nature Medicine;nature.com;https://www.nature.com/articles/s41591-020-0863-y;https://scholar.google.com/scholar?cites=9582824425766725244&as_sdt=2005&sciodt=2007&hl=en;13;15.12.2021 06:32;HTML;;;;;;;;369;36900;185;2;1;The 20th century experienced the 1929 Wall Street crash and the 1973 oil-price shock, as well as numerous regional crises in East Asia, the former Soviet Union, and Latin America …;https://www.nature.com/articles/s41591-020-0863-y;https://scholar.google.com/scholar?q=related:fCbDEgsI_YQJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:economy&hl=en&as_sdt=2007
368;Y Qiu, X Chen, W Shi;impacts of social and economic factors on the transmission of coronavirus disease 2019 covid-19 in china;2020;Journal of Population Economics;Springer;https://link.springer.com/article/10.1007/s00148-020-00778-2;https://scholar.google.com/scholar?cites=9788442791733312713&as_sdt=2005&sciodt=2007&hl=en;185;15.12.2021 06:53;HTML;10.1007/s00148-020-00778-2;;;;;;;368;36800;123;3;1;This study models local and cross-city transmissions of the novel coronavirus in China between January 19 and February 29, 2020. We examine the role of various socioeconomic mediating factors, including public health measures that encourage social distancing in local …;https://link.springer.com/article/10.1007/s00148-020-00778-2;https://scholar.google.com/scholar?q=related:yTx_kduI14cJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:economic&hl=en&as_sdt=2007
333;R Chetty, JN Friedman, N Hendren, M Stepner, ...;how did covid-19 and stabilization policies affect spending and employment a new real-time economic tracker based on private sector data;2020;;nber.org;https://www.nber.org/system/files/working_papers/w27431/w27431.pdf?fbclid=IwAR3ucfgXlJV_IC47PPFt0W9rYC3hRowmTnBrlASNnRlAuqi0OWV1c9x2zQ0;https://scholar.google.com/scholar?cites=14631992855351374509&as_sdt=2005&sciodt=2007&hl=en;51;15.12.2021 06:53;BOOK;;;;;;;;333;33300;67;5;1;We build a publicly available database that tracks economic activity at a granular level in real time using anonymized data from private companies. We report daily statistics on consumer spending, business revenues, employment rates, and other key indicators …;https://www.nber.org/system/files/working_papers/w27431/w27431.pdf?fbclid=IwAR3ucfgXlJV_IC47PPFt0W9rYC3hRowmTnBrlASNnRlAuqi0OWV1c9x2zQ0;https://scholar.google.com/scholar?q=related:rbJFc_pHD8sJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:economic&hl=en&as_sdt=2007
316;BN Ashraf;economic impact of government interventions during the covid-19 pandemic international evidence from financial markets;2020;Journal of behavioral and experimental finance;Elsevier;https://www.sciencedirect.com/science/article/pii/S2214635020302422;https://scholar.google.com/scholar?cites=16890127517977055781&as_sdt=2005&sciodt=2007&hl=en;44;15.12.2021 06:53;;;;;;;;;316;31600;316;1;1;The outbreak of COVID-19 pandemic came as a rare, unprecedented event and governments around the globe scrambled with emergency actions including social distancing measures, public awareness programs, testing and quarantining policies, and …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7323651/;https://scholar.google.com/scholar?q=related:JZISaH3JZeoJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:economic&hl=en&as_sdt=2007
