Cites;Authors;title;Year;Source;Publisher;ArticleURL;CitesURL;GSRank;QueryDate;Type;DOI;ISSN;CitationURL;Volume;Issue;StartPage;EndPage;ECC;CitesPerYear;CitesPerAuthor;AuthorCount;Age;Abstract;FullTextURL;RelatedURL
929;L Di Renzo, P Gualtieri, F Pivari, L Soldati, ...;eating habits and lifestyle changes during covid-19 lockdown an italian survey;2020;Journal of translational …;Springer;https://link.springer.com/content/pdf/10.1186/s12967-020-02399-5.pdf;https://scholar.google.com/scholar?cites=15732966665915599245&as_sdt=2005&sciodt=2007&hl=en;36;15.12.2021 05:57;PDF;10.1186/s12967-020-02399-5;;;;;;;929;92900;186;5;1;Abstract Background On December 12th 2019, a new coronavirus (SARS-Cov2) emerged in Wuhan, China, sparking a pandemic of acute respiratory syndrome in humans (COVID-19) …;https://link.springer.com/content/pdf/10.1186/s12967-020-02399-5.pdf;https://scholar.google.com/scholar?q=related:jQn2aNO5VtoJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
875;H Lau, V Khosrawipour, P Kocbach, ...;the positive impact of lockdown in wuhan on containing the covid-19 outbreak in china;2020;Journal of travel …;academic.oup.com;https://academic.oup.com/jtm/article-pdf/doi/10.1093/jtm/taaa037/33226344/taaa037.pdf;https://scholar.google.com/scholar?cites=15379673871047658131&as_sdt=2005&sciodt=2007&hl=en;5;15.12.2021 05:57;;10.1093/jtm/taaa037/33226344/taaa037;;;;;;;875;87500;219;4;1;Background With its epicenter in Wuhan, China, the COVID-19 outbreak was declared a Public Health Emergency of International Concern by the World Health Organization (WHO) …;https://covid-19.conacyt.mx/jspui/bitstream/1000/759/1/102321.pdf;https://scholar.google.com/scholar?q=related:kwonleaTb9UJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
750;FE Alvarez, D Argente, F Lippi;a simple planning problem for covid-19 lockdown;2020;;nber.org;https://www.nber.org/papers/w26981;https://scholar.google.com/scholar?cites=980955693084139774&as_sdt=2005&sciodt=2007&hl=en;8;15.12.2021 05:57;;;;;;;;;750;75000;250;3;1;We study the optimal lockdown policy for a planner who wants to control the fatalities of a pandemic while minimizing the output costs of the lockdown. We use the SIR epidemiology …;https://www.nber.org/system/files/working_papers/w26981/w26981.pdf;https://scholar.google.com/scholar?q=related:_mCtagEOnQ0J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
705;L Mishra, T Gupta, A Shree;online teaching-learning in higher education during lockdown period of covid-19 pandemic;2020;International Journal of Educational Research …;Elsevier;https://www.sciencedirect.com/science/article/pii/S2666374020300121;https://scholar.google.com/scholar?cites=12416207339949694519&as_sdt=2005&sciodt=2007&hl=en;12;15.12.2021 05:57;HTML;;;;;;;;705;70500;235;3;1;The whole educational system from elementary to tertiary level has been collapsed during the lockdown period of the novel coronavirus disease 2019 (COVID-19) not only in India but …;https://www.sciencedirect.com/science/article/pii/S2666374020300121;https://scholar.google.com/scholar?q=related:N55Ms8o6T6wJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
700;R Rossi, V Socci, D Talevi, S Mensi, C Niolu, ...;covid-19 pandemic and lockdown measures impact on mental health among the general population in italy;2020;Frontiers in …;frontiersin.org;"https://www.frontiersin.org/articles/10.3389/fpsyt.2020.00790/full?&;utm_source=Email_to_authors_&;utm_medium=Email&;utm_content=T1_11.5e1_author&;utm_campaign=Email_publication&;field=&;journalName=Frontiers_in_Psychiatry&;id=550552";https://scholar.google.com/scholar?cites=3847800652891607197&as_sdt=2005&sciodt=2007&hl=en;28;15.12.2021 05:57;HTML;10.3389/fpsyt.2020.00790;;;;;;;700;70000;117;6;1;Background The psychological impact of the COronaVIrus Disease 2019 (COVID-19) outbreak and lockdown measures on the Italian population are unknown. The current study …;"https://www.frontiersin.org/articles/10.3389/fpsyt.2020.00790/full?&;utm_source=Email_to_authors_&;utm_medium=Email&;utm_content=T1_11.5e1_author&;utm_campaign=Email_publication&;field=&;journalName=Frontiers_in_Psychiatry&;id=550552";https://scholar.google.com/scholar?q=related:ndAeqk4iZjUJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
637;S Mahato, S Pal, KG Ghosh;effect of lockdown amid covid-19 pandemic on air quality of the megacity delhi india;2020;Science of the total environment;Elsevier;https://www.sciencedirect.com/science/article/pii/S0048969720326036;https://scholar.google.com/scholar?cites=10927000228640137422&as_sdt=2005&sciodt=2007&hl=en;10;15.12.2021 05:57;;;;;;;;;637;63700;212;3;1;Amid the COVID-19 pandemic, a nationwide lockdown is imposed in India initially for three weeks from 24th March to 14th April 2020 and extended up to 3rd May 2020. Due to the …;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7189867/;https://scholar.google.com/scholar?q=related:ziC1cNCApJcJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
576;F Hao, W Tan, L Jiang, L Zhang, X Zhao, Y Zou, ...;do psychiatric patients experience more psychiatric symptoms during covid-19 pandemic and lockdown a case-control study with service and research implications ;2020;Brain, behavior, and …;Elsevier;https://www.sciencedirect.com/science/article/pii/S0889159120306267;https://scholar.google.com/scholar?cites=13815534275576048328&as_sdt=2005&sciodt=2007&hl=en;173;15.12.2021 05:57;;;;;;;;;576;57600;82;7;1;This study aimed to assess and compare the immediate stress and psychological impact experienced by people with and without psychiatric illnesses during the peak of 2019 …;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7184991/;https://scholar.google.com/scholar?q=related:yKrxzTmjur8J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
568;P Odriozola-González, Á Planchuelo-Gómez, ...;psychological effects of the covid-19 outbreak and lockdown among students and workers of a spanish university;2020;Psychiatry …;Elsevier;https://www.sciencedirect.com/science/article/pii/S0165178120313147;https://scholar.google.com/scholar?cites=14902329256545360939&as_sdt=2005&sciodt=2007&hl=en;73;15.12.2021 05:57;;;;;;;;;568;56800;189;3;1;The aim of this study was to analyze the psychological impact of COVID-19 in the university community during the first weeks of confinement. A cross-sectional study was conducted …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7236679/;https://scholar.google.com/scholar?q=related:KxxMvoC1z84J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
523;N Cellini, N Canale, G Mioni, ...;changes in sleep pattern sense of time and digital media use during covid?19 lockdown in italy;2020;Journal of sleep …;Wiley Online Library;https://onlinelibrary.wiley.com/doi/abs/10.1111/jsr.13074;https://scholar.google.com/scholar?cites=6193500996272985145&as_sdt=2005&sciodt=2007&hl=en;235;15.12.2021 05:57;;10.1111/jsr.13074;;;;;;;523;52300;131;4;1;Italy is one of the major COVID?19 hotspots. To reduce the spread of the infections and the pressure on Italian healthcare systems, since March 10, 2020, Italy has been under a total …;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jsr.13074;https://scholar.google.com/scholar?q=related:ORThble881UJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
492;A Pietrobelli, L Pecoraro, A Ferruzzi, M Heo, M Faith, ...;effects of covid?19 lockdown on lifestyle behaviors in children with obesity living in verona italy a longitudinal study;2020;…;Wiley Online Library;https://onlinelibrary.wiley.com/doi/abs/10.1002/oby.22861;https://scholar.google.com/scholar?cites=8195457654872729213&as_sdt=2005&sciodt=2007&hl=en;202;15.12.2021 05:57;;10.1002/oby.22861;;;;;;;492;49200;82;6;1;Objective The aim of this study was to test the hypothesis that youths with obesity, when removed from structured school activities and confined to their homes during the coronavirus …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7267384/;https://scholar.google.com/scholar?q=related:feZx0lAdvHEJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
470;S Singh, MD Roy, CPTMK Sinha, CPTMS Parveen, ...;impact of covid-19 and lockdown on mental health of children and adolescents a narrative review with recommendations;2020;Psychiatry …;Elsevier;https://www.sciencedirect.com/science/article/pii/S016517812031725X;https://scholar.google.com/scholar?cites=16693631557173166876&as_sdt=2005&sciodt=2007&hl=en;581;15.12.2021 05:57;;;;;;;;;470;47000;94;5;1;Background COVID-19 pandemic and lockdown has brought about a sense of fear and anxiety around the globe. This phenomenon has led to short term as well as long term …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7444649/?report$=$abstract;https://scholar.google.com/scholar?q=related:HMOOYHSxq-cJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
469;T Elmer, K Mepham, C Stadtfeld;students under lockdown comparisons of students social networks and mental health before and during the covid-19 crisis in switzerland;2020;Plos one;journals.plos.org;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0236337;https://scholar.google.com/scholar?cites=17228970527166199026&as_sdt=2005&sciodt=2007&hl=en;47;15.12.2021 05:57;HTML;;;;;;;;469;46900;156;3;1;This study investigates students' social networks and mental health before and at the time of the COVID-19 pandemic in April 2020, using longitudinal data collected since 2018. We …;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0236337;https://scholar.google.com/scholar?q=related:8nRqVWmZGe8J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
