Cites;Authors;title;Year;Source;Publisher;ArticleURL;CitesURL;GSRank;QueryDate;Type;DOI;ISSN;CitationURL;Volume;Issue;StartPage;EndPage;ECC;CitesPerYear;CitesPerAuthor;AuthorCount;Age;Abstract;FullTextURL;RelatedURL
2466;M Chinazzi, JT Davis, M Ajelli, C Gioannini, ...;the effect of travel restrictions on the spread of the 2019 novel coronavirus covid-19 outbreak;2020;…;science.sciencemag.org;https://science.sciencemag.org/CONTENT/368/6489/395.abstract;https://scholar.google.com/scholar?cites=8187313286686226056&as_sdt=2005&sciodt=2007&hl=en;7;15.12.2021 07:45;;;;;;;;;2466;246600;493;5;1;Motivated by the rapid spread of coronavirus disease 2019 (COVID-19) in mainland China, we use a global metapopulation disease transmission model to project the impact of travel limitations on the national and international spread of the epidemic. The model is calibrated …;https://science.sciencemag.org/CONTENT/368/6489/395;https://scholar.google.com/scholar?q=related:iLbEVQ4un3EJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel&hl=en&as_sdt=2007
2124;S Gössling, D Scott, CM Hall;pandemics tourism and global change a rapid assessment of covid-19;2020;Journal of Sustainable Tourism;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/09669582.2020.1758708;https://scholar.google.com/scholar?cites=1325762609393052978&as_sdt=2005&sciodt=2007&hl=en;17;15.12.2021 06:04;;10.1080/09669582.2020.1758708;;;;;;;2124;212400;708;3;1;Abstract The novel coronavirus (COVID-19) is challenging the world. With no vaccine and limited medical capacity to treat the disease, nonpharmaceutical interventions (NPI) are the main strategy to contain the pandemic. Unprecedented global travel restrictions and stay-at …;https://www.tandfonline.com/doi/pdf/10.1080/09669582.2020.1758708;https://scholar.google.com/scholar?q=related:Mi1erREOZhIJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism&hl=en&as_sdt=2007
706;M Sigala;tourism and covid-19 impacts and implications for advancing and resetting industry and research;2020;Journal of business research;Elsevier;https://www.sciencedirect.com/science/article/pii/S0148296320303908;https://scholar.google.com/scholar?cites=1158448491975660320&as_sdt=2005&sciodt=2007&hl=en;2;15.12.2021 06:04;;;;;;;;;706;70600;706;1;1;The paper aims to critically review past and emerging literature to help professionals and researchers alike to better understand, manage and valorize both the tourism impacts and transformational affordance of COVID-19. To achieve this, first, the paper discusses why and …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7290228/;https://scholar.google.com/scholar?q=related:INPLBsSiExAJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism&hl=en&as_sdt=2007
497;F Higgins-Desbiolles;socialising tourism for social and ecological justice after covid-19;2020;Tourism Geographies;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/14616688.2020.1757748;https://scholar.google.com/scholar?cites=5197932017907162962&as_sdt=2005&sciodt=2007&hl=en;15;15.12.2021 06:04;;10.1080/14616688.2020.1757748;;;;;;;497;49700;497;1;1;Abstract The COVID-19 pandemic of 2019–2020 has the potential to transform the tourism industry as well as the context in which it operates. This global crisis in which travel, tourism, hospitality and events have been shut down in many parts of the world, provides an …;https://www.foreverwaiheke.com/s/Socialising-tourism-for-social-and-ecological-justice-after-COVID-19.pdf;https://scholar.google.com/scholar?q=related:Ul_8ZaHDIkgJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism&hl=en&as_sdt=2007
461;J De Vos;the effect of covid-19 and subsequent social distancing on travel behavior;2020;Transportation Research Interdisciplinary Perspectives;Elsevier;https://www.sciencedirect.com/science/article/pii/S2590198220300324;https://scholar.google.com/scholar?cites=10140680047555436113&as_sdt=2005&sciodt=2007&hl=en;44;15.12.2021 07:45;HTML;;;;;;;;461;46100;461;1;1;The spread of the COVID-19 virus has resulted in unprecedented measures restricting travel and activity participation in many countries. Social distancing, ie, reducing interactions …;https://www.sciencedirect.com/science/article/pii/S2590198220300324;https://scholar.google.com/scholar?q=related:Ud5uj8buuowJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel&hl=en&as_sdt=2007
355;MM Böhmer, U Buchholz, VM Corman, M Hoch, ...;investigation of a covid-19 outbreak in germany resulting from a single travel-associated primary case a case series;2020;The Lancet Infectious …;Elsevier;https://www.sciencedirect.com/science/article/pii/S1473309920303145;https://scholar.google.com/scholar?cites=11709850387322511880&as_sdt=2005&sciodt=2007&hl=en;5;15.12.2021 07:45;;;;;;;;;355;35500;71;5;1;Summary Background In December, 2019, the newly identified severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) emerged in Wuhan, China, causing COVID-19, a respiratory disease presenting with fever, cough, and often pneumonia. WHO has set the …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7228725/;https://scholar.google.com/scholar?q=related:CCJUxeK-gaIJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel&hl=en&as_sdt=2007
341;J Wen, M Kozak, S Yang, F Liu;covid-19 potential effects on chinese citizens lifestyle and travel;2020;Tourism Review;emerald.com;https://www.emerald.com/insight/content/doi/10.1108/TR-03-2020-0110/full/html;https://scholar.google.com/scholar?cites=7689542105377959499&as_sdt=2005&sciodt=2007&hl=en;21;15.12.2021 07:45;;10.1108/TR-03-2020-0110;;;;;;;341;34100;85;4;1;Purpose The 2019 novel coronavirus (COVID-19) outbreak is projected to have adverse consequences on the global tourism and hospitality industry. This paper aims to examine …;https://eprints.gla.ac.uk/215920/1/215920.pdf;https://scholar.google.com/scholar?q=related:S252zM29tmoJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel&hl=en&as_sdt=2007
312;LO Gostin, LF Wiley;governmental public health powers during the covid-19 pandemic stay-at-home orders business closures and travel restrictions;2020;Jama;jamanetwork.com;https://jamanetwork.com/journals/jama/article-abstract/2764283;https://scholar.google.com/scholar?cites=8821277402681825076&as_sdt=2005&sciodt=2007&hl=en;46;15.12.2021 07:45;;;;;;;;;312;31200;156;2;1;The president and all 50 governors have declared health emergencies to counteract the spread of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) …;https://jamanetwork.com/journals/jama/fullarticle/2764283;https://scholar.google.com/scholar?q=related:NNcHhA95a3oJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel&hl=en&as_sdt=2007
305;D Gursoy, CG Chi;effects of covid-19 pandemic on hospitality industry review of the current situations and a research agenda;2020;… of Hospitality Marketing & Management;Taylor & Francis;https://www.tandfonline.com/doi/full/10.1080/19368623.2020.1788231;https://scholar.google.com/scholar?cites=5928462178479746642&as_sdt=2005&sciodt=2007&hl=en;4;15.12.2021 07:29;HTML;10.1080/19368623.2020.1788231;;;;;;;305;30500;153;2;1;Due to the Covid-19 pandemic, the world's economy was shut down almost overnight (UNWTO, 2020). The pandemic has confronted the hospitality industry with an unprecedented challenge. Strategies to flatten the COVID-19 curve such as community …;https://www.tandfonline.com/doi/full/10.1080/19368623.2020.1788231;https://scholar.google.com/scholar?q=related:Uq6f5PAgRlIJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:hospitality&hl=en&as_sdt=2007
305;Y Jiang, J Wen;effects of covid-19 on hotel marketing and management a perspective article;2020;International Journal of Contemporary Hospitality …;emerald.com;https://www.emerald.com/insight/content/doi/10.1108/IJCHM-03-2020-0237/full/html;https://scholar.google.com/scholar?cites=11193042677052133278&as_sdt=2005&sciodt=2007&hl=en;1;15.12.2021 07:34;;10.1108/IJCHM-03-2020-0237;;;;;;;305;30500;153;2;1;Purpose This paper aims to discuss the effects of COVID-19 on hotel marketing and management practices and outlines a three-pronged research agenda to stimulate knowledge development in the hotel sector. Design/methodology/approach This paper is …;https://core.ac.uk/download/pdf/327949008.pdf;https://scholar.google.com/scholar?q=related:ns968QKtVZsJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:hotel&hl=en&as_sdt=2007
269;M de Haas, R Faber, M Hamersma;how covid-19 and the dutch intelligent lockdownchange activities work and travel behaviour evidence from longitudinal data in the netherlands;2020;Transportation Research …;Elsevier;https://www.sciencedirect.com/science/article/pii/S2590198220300610;https://scholar.google.com/scholar?cites=12714461507559825786&as_sdt=2005&sciodt=2007&hl=en;98;15.12.2021 07:45;HTML;;;;;;;;269;26900;90;3;1;COVID-19 has massively affected the lives of people all over the world. This paper presents first insights in current and potential future effects of the virus and the Dutch government's …;https://www.sciencedirect.com/science/article/pii/S2590198220300610;https://scholar.google.com/scholar?q=related:eiF7hGDXcrAJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel&hl=en&as_sdt=2007
268;T Baum, NTT Hai;hospitality tourism human rights and the impact of covid-19;2020;International Journal of Contemporary Hospitality …;emerald.com;https://www.emerald.com/insight/content/doi/10.1108/IJCHM-03-2020-0242/full/html;https://scholar.google.com/scholar?cites=3168920266112267724&as_sdt=2005&sciodt=2007&hl=en;2;15.12.2021 07:29;;10.1108/IJCHM-03-2020-0242;;;;;;;268;26800;134;2;1;Purpose The purpose of this paper is to undertake a “real-time” assessment of the impact of the COVID-19 pandemic on the right to participate in hospitality and tourism and to illustrate where such rights are under threat. Design/methodology/approach This discussion is based …;https://strathprints.strath.ac.uk/72219/1/Baum_Nguyen_IJCHM_2020_Hospitality_tourism_human_rights_and_the_impact_of_COVID_19.pdf;https://scholar.google.com/scholar?q=related:zHUoPzFE-isJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:hospitality&hl=en&as_sdt=2007
