Cites;Authors;title;Year;Source;Publisher;ArticleURL;CitesURL;GSRank;QueryDate;Type;DOI;ISSN;CitationURL;Volume;Issue;StartPage;EndPage;ECC;CitesPerYear;CitesPerAuthor;AuthorCount;Age;Abstract;FullTextURL;RelatedURL
393;A Goolsbee, C Syverson;fear lockdown and diversion comparing drivers of pandemic economic decline 2020;2021;Journal of Public Economics;Elsevier;https://www.sciencedirect.com/science/article/pii/S0047272720301754;https://scholar.google.com/scholar?cites=13135974091562662435&as_sdt=2005&sciodt=2007&hl=en;4;15.12.2021 06:59;;;;;;;;;393;39300;197;2;1;The collapse of economic activity in 2020 from COVID-19 has been immense. An important question is how much of that collapse resulted from government-imposed restrictions versus …;https://www.nber.org/system/files/working_papers/w27432/w27432.pdf;https://scholar.google.com/scholar?q=related:I7pTwtZaTLYJ:scholar.google.com/&scioq=intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
325;G Gopinath;the great lockdown worst economic downturn since the great depression;2020;IMF blog;newsofbahrain.com;https://www.newsofbahrain.com/epaper/15-04-2020/single/page-06.pdf;https://scholar.google.com/scholar?cites=5080496112760892383&as_sdt=2005&sciodt=2007&hl=en;1;15.12.2021 06:59;PDF;;;;;;;;325;32500;325;1;1;… months since our last update of the World Economic Outlook in January. A rare disaster, a coronavirus pandemic, has resulted in a tragically large number of human lives being lost. As …;https://www.newsofbahrain.com/epaper/15-04-2020/single/page-06.pdf;https://scholar.google.com/scholar?q=related:36vdA0yMgUYJ:scholar.google.com/&scioq=intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
235;AKMI Bhuiyan, N Sakib, AH Pakpour, ...;covid-19-related suicides in bangladesh due to lockdown and economic factors case study evidence from media reports;2020;International Journal of …;Springer;https://link.springer.com/content/pdf/10.1007/s11469-020-00307-y.pdf;https://scholar.google.com/scholar?cites=8949007022037312924&as_sdt=2005&sciodt=2007&hl=en;25;15.12.2021 06:59;PDF;10.1007/s11469-020-00307-y;;;;;;;235;23500;59;4;1;The incidence and mortality of the coronavirus-2019 disease (COVID-19) have increased dramatically around the world. The effects of COVID-19 pandemic are not limited to health …;https://link.springer.com/content/pdf/10.1007/s11469-020-00307-y.pdf;https://scholar.google.com/scholar?q=related:nKUCAXlCMXwJ:scholar.google.com/&scioq=intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
166;H Inoue, Y Todo;the propagation of economic impacts through supply chains the case of a mega-city lockdown to prevent the spread of covid-19;2020;PloS one;journals.plos.org;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0239251;https://scholar.google.com/scholar?cites=11586887476870090795&as_sdt=2005&sciodt=2007&hl=en;5;15.12.2021 06:59;HTML;;;;;;;;166;16600;83;2;1;This study quantifies the economic effect of a possible lockdown of Tokyo to prevent the spread of COVID-19. The negative effect of such a lockdown may propagate to other regions …;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0239251;https://scholar.google.com/scholar?q=related:K5BDL8XkzKAJ:scholar.google.com/&scioq=intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
97;O Karin, YM Bar-On, T Milo, I Katzir, A Mayo, Y Korem, ...;adaptive cyclic exit strategies from lockdown to suppress covid-19 and allow economic activity;2020;MedRxiv;medrxiv.org;https://www.medrxiv.org/content/medrxiv/early/2020/04/15/2020.04.04.20053579.full.pdf;https://scholar.google.com/scholar?cites=12157621226131268148&as_sdt=2005&sciodt=2007&hl=en;3;15.12.2021 06:59;PDF;;;;;;;;97;9700;14;7;1;Many countries have applied lockdown to suppress COVID-19, with devastating economic consequences. Here we propose exit strategies from lockdown that suppress the epidemic …;https://www.medrxiv.org/content/medrxiv/early/2020/04/15/2020.04.04.20053579.full.pdf;https://scholar.google.com/scholar?q=related:NKJNYReMuKgJ:scholar.google.com/&scioq=intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
87;MA Rahman, N Zaman, AT Asyhari, ...;data-driven dynamic clustering framework for mitigating the adverse economic impact of covid-19 lockdown practices;2020;Sustainable cities and …;Elsevier;https://www.sciencedirect.com/science/article/pii/S221067072030593X;https://scholar.google.com/scholar?cites=13224847409021750023&as_sdt=2005&sciodt=2007&hl=en;17;15.12.2021 06:59;;;;;;;;;87;8700;22;4;1;The COVID-19 disease has once again reiterated the impact of pandemics beyond a biomedical event with potential rapid, dramatic, sweeping disruptions to the management …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7333601/;https://scholar.google.com/scholar?q=related:B4t8d6YYiLcJ:scholar.google.com/&scioq=intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
78;H Bherwani, M Nair, K Musugu, S Gautam, ...;valuation of air pollution externalities comparative assessment of economic damage and emission reduction under covid-19 lockdown;2020;Air Quality, Atmosphere …;Springer;https://link.springer.com/article/10.1007/s11869-020-00845-3;https://scholar.google.com/scholar?cites=6552993966505504728&as_sdt=2005&sciodt=2007&hl=en;26;15.12.2021 06:59;HTML;10.1007/s11869-020-00845-3;;;;;;;78;7800;16;5;1;Air pollution (AP) is one of the major causes of health risks as it leads to widespread morbidity and mortality each year. Its environmental impacts include acid rains, reduced …;https://link.springer.com/article/10.1007/s11869-020-00845-3;https://scholar.google.com/scholar?q=related:2K_WFEvp8FoJ:scholar.google.com/&scioq=intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
75;M Coccia; of covid-19 and economic growth of countries lessons learned to cope with future pandemics similar to covid-19 and to constrain the deterioration of economic ;2021;Science of The Total Environment;Elsevier;https://www.sciencedirect.com/science/article/pii/S0048969721008688;https://scholar.google.com/scholar?cites=1361853663917698024&as_sdt=2005&sciodt=2007&hl=en;12;15.12.2021 06:59;;;;;;;;;75;7500;75;1;1;How is the relation between duration of lockdown and numbers of infected people and deaths of Coronavirus disease 2019 (COVID-19), and growth level of Gross Domestic …;https://www.ncbi.nlm.nih.gov/pmc/articles/7879021/;https://scholar.google.com/scholar?q=related:6OvgIbFG5hIJ:scholar.google.com/&scioq=intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
63;T Kanitkar;the covid-19 lockdown in india impacts on the economy and the power sector;2020;Global transitions;Elsevier;https://www.sciencedirect.com/science/article/pii/S2589791820300153;https://scholar.google.com/scholar?cites=2159739106342868196&as_sdt=2005&sciodt=2007&hl=en;11;15.12.2021 06:41;HTML;;;;;;;;63;6300;63;1;1;This paper demonstrates the use of a linear Input-Output (IO) model to estimate the economic losses in India due to COVID-19. The results show that depending on the duration …;https://www.sciencedirect.com/science/article/pii/S2589791820300153;https://scholar.google.com/scholar?q=related:5BQWQUbv-B0J:scholar.google.com/&scioq=intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
55;M Mahmud, E Riley;household response to an extreme shock evidence on the immediate impact of the covid-19 lockdown on economic outcomes and well-being in rural uganda;2021;World Development;Elsevier;https://www.sciencedirect.com/science/article/pii/S0305750X20304459;https://scholar.google.com/scholar?cites=18139205846492326428&as_sdt=2005&sciodt=2007&hl=en;30;15.12.2021 06:59;;;;;;;;;55;5500;28;2;1;We provide evidence on the economic and well-being impact of the Covid-19 lockdown on a sample of households in rural Uganda. Our sample consists of 1,277 households randomly …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8446716/;https://scholar.google.com/scholar?q=related:HCrdm5xnu_sJ:scholar.google.com/&scioq=intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
