Cites;Authors;title;Year;Source;Publisher;ArticleURL;CitesURL;GSRank;QueryDate;Type;DOI;ISSN;CitationURL;Volume;Issue;StartPage;EndPage;ECC;CitesPerYear;CitesPerAuthor;AuthorCount;Age;Abstract;FullTextURL;RelatedURL
2375;G Zervas, D Proserpio, ...;the rise of the sharing economy estimating the impact of airbnb on the hotel industry;2017;Journal of marketing …;journals.sagepub.com;https://journals.sagepub.com/doi/abs/10.1509/jmr.15.0204;https://scholar.google.com/scholar?cites=2865692472406471841&as_sdt=2005&sciodt=2007&hl=en;3;16.12.2021 04:08;;10.1509/jmr.15.0204;;;;;;;2375;59375;792;3;4;Peer-to-peer markets, collectively known as the sharing economy, have emerged as alternative suppliers of goods and services traditionally provided by long-established …;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.644.7793&rep=rep1&type=pdf;https://scholar.google.com/scholar?q=related:oXRM3R78xCcJ:scholar.google.com/&scioq=intitle:hotel+intitle:economy&hl=en&as_sdt=2007
1845;H Oh, AM Fiore, M Jeoung;measuring experience economy concepts tourism applications;2007;Journal of travel research;journals.sagepub.com;https://journals.sagepub.com/doi/abs/10.1177/0047287507304039;https://scholar.google.com/scholar?cites=1778373019374043413&as_sdt=2005&sciodt=2007&hl=en;68;15.12.2021 06:34;;10.1177/0047287507304039;;;;;;;1845;13179;615;3;14;The authors develop a measurement scale tapping Pine and Gilmore's (1999) four realms of experience that is applicable to lodging and, potentially, tourism research across various …;https://www.academia.edu/download/38057794/Journal-of-Travel-Research-2007-Oh-119-32.pdf;https://scholar.google.com/scholar?q=related:FcHtwdYMrhgJ:scholar.google.com/&scioq=intitle:tourism+intitle:economy&hl=en&as_sdt=2007
1761;J Balaguer, M Cantavella-Jorda;tourism as a long-run economic growth factor the spanish case;2002;Applied economics;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/00036840110058923;https://scholar.google.com/scholar?cites=755773465663923910&as_sdt=2005&sciodt=2007&hl=en;164;15.12.2021 06:56;;10.1080/00036840110058923;;;;;;;1761;9268;881;2;19;This paper examines the role of tourism in the Spanish long-run economic development. The tourism-led growth hypothesis is confirmed through cointegration and causality testing …;https://www.academia.edu/download/57092867/Spanish-Tourism_as_a_long_run_economic_growth_factor_the_Spanish_case.pdf;https://scholar.google.com/scholar?q=related:xmaQd_YLfQoJ:scholar.google.com/&scioq=intitle:tourism+intitle:economic&hl=en&as_sdt=2007
1515;SG Britton;the political economy of tourism in the third world;1982;Annals of tourism research;Elsevier;https://www.sciencedirect.com/science/article/pii/0160738382900184;https://scholar.google.com/scholar?cites=2977348176449910034&as_sdt=2005&sciodt=2007&hl=en;27;15.12.2021 06:34;;;;;;;;;1515;3885;1515;1;39;Abstract When a Third World country uses tourism as a development strategy, it becomes enmeshed in a global system over which it has little control. The international tourism …;;https://scholar.google.com/scholar?q=related:EjX0TWSqUSkJ:scholar.google.com/&scioq=intitle:tourism+intitle:economy&hl=en&as_sdt=2007
1388;HCWL Williams;on the formation of travel demand models and economic evaluation measures of user benefit;1977;Environment and planning A;journals.sagepub.com;https://journals.sagepub.com/doi/abs/10.1068/a090285;https://scholar.google.com/scholar?cites=3033515631541774089&as_sdt=2005&sciodt=2007&hl=en;4;15.12.2021 08:10;;10.1068/a090285;;;;;;;1388;3155;1388;1;44;"This paper examines a variety of issues within the context of two main themes: the formation of travel demand models and economic evaluation measures which are mutually consistent within a theory of rational choice; and a consideration of the structure of models which are …";https://journals.sagepub.com/doi/pdf/10.1068/a090285;https://scholar.google.com/scholar?q=related:CWekBmU2GSoJ:scholar.google.com/&scioq=intitle:travel+intitle:economic&hl=en&as_sdt=2007
1337;J Briedenhann, E Wickens;tourism routes as a tool for the economic development of rural areasvibrant hope or impossible dream;2004;Tourism management;Elsevier;https://www.sciencedirect.com/science/article/pii/S0261517703000633;https://scholar.google.com/scholar?cites=1182164199047388789&as_sdt=2005&sciodt=2007&hl=en;197;15.12.2021 06:56;;;;;;;;;1337;7865;669;2;17;Both eulogised and reviled as a development option, rural tourism is increasingly viewed as a panacea, increasing the economic viability of marginalised areas, stimulating social …;https://www.academia.edu/download/47291813/s0261-5177_2803_2900063-320160717-18995-kew5f2.pdf;https://scholar.google.com/scholar?q=related:dV5nXhPkZxAJ:scholar.google.com/&scioq=intitle:tourism+intitle:economic&hl=en&as_sdt=2007
1255;CO Oh;the contribution of tourism development to economic growth in the korean economy;2005;Tourism management;Elsevier;https://www.sciencedirect.com/science/article/pii/S0261517703001997;https://scholar.google.com/scholar?cites=6915243330300787590&as_sdt=2005&sciodt=2007&hl=en;205;15.12.2021 06:56;;;;;;;;;1255;7844;1255;1;16;This study investigates the causal relations between tourism growth and economic expansion for the Korean economy by using Engle and Granger two-stage approach and a …;http://pdf.xuebalib.com:1262/xuebalib.com.28019.pdf;https://scholar.google.com/scholar?q=related:hrv3nSvh918J:scholar.google.com/&scioq=intitle:tourism+intitle:economic&hl=en&as_sdt=2007
1191;CC Lee, CP Chang;tourism development and economic growth a closer look at panels;2008;Tourism management;Elsevier;https://www.sciencedirect.com/science/article/pii/S0261517707000386;https://scholar.google.com/scholar?cites=15847025429973857079&as_sdt=2005&sciodt=2007&hl=en;210;15.12.2021 06:56;;;;;;;;;1191;9162;596;2;13;This paper applies the new heterogeneous panel cointegration technique to re-investigate the long-run comovements and causal relationships between tourism development and …;https://www.academia.edu/download/50945337/j.tourman.2007.02.01320161217-6641-9ktyi5.pdf;https://scholar.google.com/scholar?q=related:N3Ms3Krx69sJ:scholar.google.com/&scioq=intitle:tourism+intitle:economic&hl=en&as_sdt=2007
1117;N Dritsakis;tourism as a long-run economic growth factor an empirical investigation for greece using causality analysis;2004;Tourism economics;journals.sagepub.com;https://journals.sagepub.com/doi/abs/10.5367/0000000041895094;https://scholar.google.com/scholar?cites=10168370733409490500&as_sdt=2005&sciodt=2007&hl=en;300;15.12.2021 06:56;;10.5367/0000000041895094;;;;;;;1117;6571;1117;1;17;This paper empirically examines the impact of tourism on the long-run economic growth of Greece by using causality analysis of real gross domestic product, real effective exchange …;https://www.researchgate.net/profile/Nikolaos-Dritsakis/publication/274077164_Tourism_as_a_Long-Run_Economic_Growth_Factor_An_Empirical_Investigation_for_Greece_Using_Causality_Analysis/links/55151ed80cf283ee0839bb79/Tourism-as-a-Long-Run-Economic-Growth-Factor-An-Empirical-Investigation-for-Greece-Using-Causality-Analysis.pdf;https://scholar.google.com/scholar?q=related:RNZZxU5PHY0J:scholar.google.com/&scioq=intitle:tourism+intitle:economic&hl=en&as_sdt=2007
968;MT Sinclair;tourism and economic development a survey;1998;The journal of development studies;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/00220389808422535;https://scholar.google.com/scholar?cites=3326380633043724383&as_sdt=2005&sciodt=2007&hl=en;12;15.12.2021 06:56;;10.1080/00220389808422535;;;;;;;968;4209;968;1;23;This article surveys the literature on tourism and economic development, identifying the contribution that tourism can make to development, including foreign currency, income and …;;https://scholar.google.com/scholar?q=related:X2hP1I-tKS4J:scholar.google.com/&scioq=intitle:tourism+intitle:economic&hl=en&as_sdt=2007
