Cites;Authors;title;Year;Source;Publisher;ArticleURL;CitesURL;GSRank;QueryDate;Type;DOI;ISSN;CitationURL;Volume;Issue;StartPage;EndPage;ECC;CitesPerYear;CitesPerAuthor;AuthorCount;Age;Abstract;FullTextURL;RelatedURL
269;M de Haas, R Faber, M Hamersma;how covid-19 and the dutch intelligent lockdownchange activities work and travel behaviour evidence from longitudinal data in the netherlands;2020;Transportation Research …;Elsevier;https://www.sciencedirect.com/science/article/pii/S2590198220300610;https://scholar.google.com/scholar?cites=12714461507559825786&as_sdt=2005&sciodt=2007&hl=en;5;16.12.2021 01:40;HTML;;;;;;;;269;26900;90;3;1;COVID-19 has massively affected the lives of people all over the world. This paper presents first insights in current and potential future effects of the virus and the Dutch government's 'intelligent lockdown'on people's activities and travel behaviour. Findings are based on a …;https://www.sciencedirect.com/science/article/pii/S2590198220300610;https://scholar.google.com/scholar?q=related:eiF7hGDXcrAJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel+intitle:lockdown&hl=en&as_sdt=2007
235;AKMI Bhuiyan, N Sakib, AH Pakpour, ...;covid-19-related suicides in bangladesh due to lockdown and economic factors case study evidence from media reports;2020;International Journal of …;Springer;https://link.springer.com/content/pdf/10.1007/s11469-020-00307-y.pdf;https://scholar.google.com/scholar?cites=8949007022037312924&as_sdt=2005&sciodt=2007&hl=en;5;16.12.2021 01:42;PDF;10.1007/s11469-020-00307-y;;;;;;;235;23500;59;4;1;The incidence and mortality of the coronavirus-2019 disease (COVID-19) have increased dramatically around the world. The effects of COVID-19 pandemic are not limited to health, but also have a major impact on the social and economic aspects. Meanwhile, developing …;https://link.springer.com/content/pdf/10.1007/s11469-020-00307-y.pdf;https://scholar.google.com/scholar?q=related:nKUCAXlCMXwJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
166;H Inoue, Y Todo;the propagation of economic impacts through supply chains the case of a mega-city lockdown to prevent the spread of covid-19;2020;PloS one;journals.plos.org;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0239251;https://scholar.google.com/scholar?cites=11586887476870090795&as_sdt=2005&sciodt=2007&hl=en;4;16.12.2021 01:42;HTML;;;;;;;;166;16600;83;2;1;This study quantifies the economic effect of a possible lockdown of Tokyo to prevent the spread of COVID-19. The negative effect of such a lockdown may propagate to other regions through supply chains because of supply and demand shortages. Applying an agent-based …;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0239251;https://scholar.google.com/scholar?q=related:K5BDL8XkzKAJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
154;B Prideaux, M Thompson, A Pabel;lessons from covid-19 can prepare global tourism for the economic transformation needed to combat climate change;2020;Tourism Geographies;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/14616688.2020.1762117;https://scholar.google.com/scholar?cites=14790239485417095436&as_sdt=2005&sciodt=2007&hl=en;2;16.12.2021 01:42;;10.1080/14616688.2020.1762117;;;;;;;154;15400;51;3;1;The COVID-19 pandemic led to the cessation of almost all international travel in the first half of 2020. A return to pre-pandemic growth patterns will take time and depend on the depth and extent of the recession sparked by COVID-19. The recovery phase will overlap with …;;https://scholar.google.com/scholar?q=related:DAE-L3N8Qc0J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
128;S Jain, T Sharma;social and travel lockdown impact considering coronavirus disease covid-19 on air quality in megacities of india present benefits future challenges and ;2020;Aerosol and Air Quality Research;aaqr.org;https://aaqr.org/articles/aaqr-20-04-covid-0171?rCH=2;https://scholar.google.com/scholar?cites=12877145131848767342&as_sdt=2005&sciodt=2007&hl=en;1;16.12.2021 01:40;HTML;;;;;;;;128;12800;64;2;1;ABSTRACT The coronavirus disease (COVID-19) created enormous pressure across the globe due to an increasing number of COVID-19 infected cases. All the governments' primary focus is to save humanity from this pandemic problem, and they have lockdown …;https://aaqr.org/articles/aaqr-20-04-covid-0171?rCH=2;https://scholar.google.com/scholar?q=related:bhf_eEXPtLIJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel+intitle:lockdown&hl=en&as_sdt=2007
97;O Karin, YM Bar-On, T Milo, I Katzir, A Mayo, Y Korem, ...;adaptive cyclic exit strategies from lockdown to suppress covid-19 and allow economic activity;2020;MedRxiv;medrxiv.org;https://www.medrxiv.org/content/medrxiv/early/2020/04/15/2020.04.04.20053579.full.pdf;https://scholar.google.com/scholar?cites=12157621226131268148&as_sdt=2005&sciodt=2007&hl=en;1;16.12.2021 01:42;PDF;;;;;;;;97;9700;14;7;1;Many countries have applied lockdown to suppress COVID-19, with devastating economic consequences. Here we propose exit strategies from lockdown that suppress the epidemic and provide sustainable, albeit reduced, economic activity. We use mathematical models to …;https://www.medrxiv.org/content/medrxiv/early/2020/04/15/2020.04.04.20053579.full.pdf;https://scholar.google.com/scholar?q=related:NKJNYReMuKgJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
87;MA Rahman, N Zaman, AT Asyhari, ...;data-driven dynamic clustering framework for mitigating the adverse economic impact of covid-19 lockdown practices;2020;Sustainable cities and …;Elsevier;https://www.sciencedirect.com/science/article/pii/S221067072030593X;https://scholar.google.com/scholar?cites=13224847409021750023&as_sdt=2005&sciodt=2007&hl=en;3;16.12.2021 01:42;;;;;;;;;87;8700;22;4;1;The COVID-19 disease has once again reiterated the impact of pandemics beyond a biomedical event with potential rapid, dramatic, sweeping disruptions to the management, and conduct of everyday life. Not only the rate and pattern of contagion that threaten our …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7333601/;https://scholar.google.com/scholar?q=related:B4t8d6YYiLcJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
78;H Bherwani, M Nair, K Musugu, S Gautam, ...;valuation of air pollution externalities comparative assessment of economic damage and emission reduction under covid-19 lockdown;2020;Air Quality, Atmosphere …;Springer;https://link.springer.com/article/10.1007/s11869-020-00845-3;https://scholar.google.com/scholar?cites=6552993966505504728&as_sdt=2005&sciodt=2007&hl=en;7;16.12.2021 01:42;HTML;10.1007/s11869-020-00845-3;;;;;;;78;7800;16;5;1;Air pollution (AP) is one of the major causes of health risks as it leads to widespread morbidity and mortality each year. Its environmental impacts include acid rains, reduced visibility, but more importantly and significantly, it affects human health. The price tag of not …;https://link.springer.com/article/10.1007/s11869-020-00845-3;https://scholar.google.com/scholar?q=related:2K_WFEvp8FoJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
75;M Coccia; of covid-19 and economic growth of countries lessons learned to cope with future pandemics similar to covid-19 and to constrain the deterioration of economic ;2021;Science of The Total Environment;Elsevier;https://www.sciencedirect.com/science/article/pii/S0048969721008688;https://scholar.google.com/scholar?cites=1361853663917698024&as_sdt=2005&sciodt=2007&hl=en;11;16.12.2021 01:42;;;;;;;;;75;7500;75;1;1;How is the relation between duration of lockdown and numbers of infected people and deaths of Coronavirus disease 2019 (COVID-19), and growth level of Gross Domestic Product (GDP) in countries? Results here suggest that, during the first wave of COVID-19 …;https://www.ncbi.nlm.nih.gov/pmc/articles/7879021/;https://scholar.google.com/scholar?q=related:6OvgIbFG5hIJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
63;T Kanitkar;the covid-19 lockdown in india impacts on the economy and the power sector;2020;Global transitions;Elsevier;https://www.sciencedirect.com/science/article/pii/S2589791820300153;https://scholar.google.com/scholar?cites=2159739106342868196&as_sdt=2005&sciodt=2007&hl=en;4;16.12.2021 01:40;HTML;;;;;;;;63;6300;63;1;1;This paper demonstrates the use of a linear Input-Output (IO) model to estimate the economic losses in India due to COVID-19. The results show that depending on the duration of the lockdown, the Indian economy is likely to face a loss of about 10–31% of its GDP. This …;https://www.sciencedirect.com/science/article/pii/S2589791820300153;https://scholar.google.com/scholar?q=related:5BQWQUbv-B0J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
