Cites;Authors;title;Year;Source;Publisher;ArticleURL;CitesURL;GSRank;QueryDate;Type;DOI;ISSN;CitationURL;Volume;Issue;StartPage;EndPage;ECC;CitesPerYear;CitesPerAuthor;AuthorCount;Age;Abstract;FullTextURL;RelatedURL
267;A Atalan;is the lockdown important to prevent the covid-19 pandemic effects on psychology environment and economy-perspective;2020;Annals of medicine and surgery;Elsevier;https://www.sciencedirect.com/science/article/pii/S2049080120301485;https://scholar.google.com/scholar?cites=6398059882499566754&as_sdt=2005&sciodt=2007&hl=en;1;16.12.2021 01:40;HTML;;;;;;;;267;26700;267;1;1;COVID-19's daily increasing cases and deaths have led to worldwide lockdown, quarantine and some restrictions. This study aims to analyze the effect of lockdown days on the spread of coronavirus in countries. COVID-19 cases and lockdown days data were collected for 49 …;https://www.sciencedirect.com/science/article/pii/S2049080120301485;https://scholar.google.com/scholar?q=related:omwQlJB5ylgJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
235;AKMI Bhuiyan, N Sakib, AH Pakpour, ...;covid-19-related suicides in bangladesh due to lockdown and economic factors case study evidence from media reports;2020;International Journal of …;Springer;https://link.springer.com/content/pdf/10.1007/s11469-020-00307-y.pdf;https://scholar.google.com/scholar?cites=8949007022037312924&as_sdt=2005&sciodt=2007&hl=en;5;16.12.2021 01:42;PDF;10.1007/s11469-020-00307-y;;;;;;;235;23500;59;4;1;The incidence and mortality of the coronavirus-2019 disease (COVID-19) have increased dramatically around the world. The effects of COVID-19 pandemic are not limited to health, but also have a major impact on the social and economic aspects. Meanwhile, developing …;https://link.springer.com/content/pdf/10.1007/s11469-020-00307-y.pdf;https://scholar.google.com/scholar?q=related:nKUCAXlCMXwJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
166;H Inoue, Y Todo;the propagation of economic impacts through supply chains the case of a mega-city lockdown to prevent the spread of covid-19;2020;PloS one;journals.plos.org;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0239251;https://scholar.google.com/scholar?cites=11586887476870090795&as_sdt=2005&sciodt=2007&hl=en;4;16.12.2021 01:42;HTML;;;;;;;;166;16600;83;2;1;This study quantifies the economic effect of a possible lockdown of Tokyo to prevent the spread of COVID-19. The negative effect of such a lockdown may propagate to other regions through supply chains because of supply and demand shortages. Applying an agent-based …;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0239251;https://scholar.google.com/scholar?q=related:K5BDL8XkzKAJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
97;O Karin, YM Bar-On, T Milo, I Katzir, A Mayo, Y Korem, ...;adaptive cyclic exit strategies from lockdown to suppress covid-19 and allow economic activity;2020;MedRxiv;medrxiv.org;https://www.medrxiv.org/content/medrxiv/early/2020/04/15/2020.04.04.20053579.full.pdf;https://scholar.google.com/scholar?cites=12157621226131268148&as_sdt=2005&sciodt=2007&hl=en;1;16.12.2021 01:42;PDF;;;;;;;;97;9700;14;7;1;Many countries have applied lockdown to suppress COVID-19, with devastating economic consequences. Here we propose exit strategies from lockdown that suppress the epidemic and provide sustainable, albeit reduced, economic activity. We use mathematical models to …;https://www.medrxiv.org/content/medrxiv/early/2020/04/15/2020.04.04.20053579.full.pdf;https://scholar.google.com/scholar?q=related:NKJNYReMuKgJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
87;MA Rahman, N Zaman, AT Asyhari, ...;data-driven dynamic clustering framework for mitigating the adverse economic impact of covid-19 lockdown practices;2020;Sustainable cities and …;Elsevier;https://www.sciencedirect.com/science/article/pii/S221067072030593X;https://scholar.google.com/scholar?cites=13224847409021750023&as_sdt=2005&sciodt=2007&hl=en;3;16.12.2021 01:42;;;;;;;;;87;8700;22;4;1;The COVID-19 disease has once again reiterated the impact of pandemics beyond a biomedical event with potential rapid, dramatic, sweeping disruptions to the management, and conduct of everyday life. Not only the rate and pattern of contagion that threaten our …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7333601/;https://scholar.google.com/scholar?q=related:B4t8d6YYiLcJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
78;H Bherwani, M Nair, K Musugu, S Gautam, ...;valuation of air pollution externalities comparative assessment of economic damage and emission reduction under covid-19 lockdown;2020;Air Quality, Atmosphere …;Springer;https://link.springer.com/article/10.1007/s11869-020-00845-3;https://scholar.google.com/scholar?cites=6552993966505504728&as_sdt=2005&sciodt=2007&hl=en;7;16.12.2021 01:42;HTML;10.1007/s11869-020-00845-3;;;;;;;78;7800;16;5;1;Air pollution (AP) is one of the major causes of health risks as it leads to widespread morbidity and mortality each year. Its environmental impacts include acid rains, reduced visibility, but more importantly and significantly, it affects human health. The price tag of not …;https://link.springer.com/article/10.1007/s11869-020-00845-3;https://scholar.google.com/scholar?q=related:2K_WFEvp8FoJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
75;M Coccia; of covid-19 and economic growth of countries lessons learned to cope with future pandemics similar to covid-19 and to constrain the deterioration of economic ;2021;Science of The Total Environment;Elsevier;https://www.sciencedirect.com/science/article/pii/S0048969721008688;https://scholar.google.com/scholar?cites=1361853663917698024&as_sdt=2005&sciodt=2007&hl=en;11;16.12.2021 01:42;;;;;;;;;75;7500;75;1;1;How is the relation between duration of lockdown and numbers of infected people and deaths of Coronavirus disease 2019 (COVID-19), and growth level of Gross Domestic Product (GDP) in countries? Results here suggest that, during the first wave of COVID-19 …;https://www.ncbi.nlm.nih.gov/pmc/articles/7879021/;https://scholar.google.com/scholar?q=related:6OvgIbFG5hIJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
63;T Kanitkar;the covid-19 lockdown in india impacts on the economy and the power sector;2020;Global transitions;Elsevier;https://www.sciencedirect.com/science/article/pii/S2589791820300153;https://scholar.google.com/scholar?cites=2159739106342868196&as_sdt=2005&sciodt=2007&hl=en;4;16.12.2021 01:40;HTML;;;;;;;;63;6300;63;1;1;This paper demonstrates the use of a linear Input-Output (IO) model to estimate the economic losses in India due to COVID-19. The results show that depending on the duration of the lockdown, the Indian economy is likely to face a loss of about 10–31% of its GDP. This …;https://www.sciencedirect.com/science/article/pii/S2589791820300153;https://scholar.google.com/scholar?q=related:5BQWQUbv-B0J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
55;M Mahmud, E Riley;household response to an extreme shock evidence on the immediate impact of the covid-19 lockdown on economic outcomes and well-being in rural uganda;2021;World Development;Elsevier;https://www.sciencedirect.com/science/article/pii/S0305750X20304459;https://scholar.google.com/scholar?cites=18139205846492326428&as_sdt=2005&sciodt=2007&hl=en;9;16.12.2021 01:42;;;;;;;;;55;5500;28;2;1;We provide evidence on the economic and well-being impact of the Covid-19 lockdown on a sample of households in rural Uganda. Our sample consists of 1,277 households randomly drawn from 114 rural villages in western Uganda and surveyed in-person in early March …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8446716/;https://scholar.google.com/scholar?q=related:HCrdm5xnu_sJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
42;M Aragona, A Barbato, A Cavani, G Costanzo, ...;negative impacts of covid-19 lockdown on mental health service access and follow-up adherence for immigrants and individuals in socio-economic difficulties;2020;Public Health;Elsevier;https://www.sciencedirect.com/science/article/pii/S0033350620302936;https://scholar.google.com/scholar?cites=6917648182738778455&as_sdt=2005&sciodt=2007&hl=en;13;16.12.2021 01:42;;;;;;;;;42;4200;8;5;1;Objectives Lockdown measures in response to the coronavirus disease 2019 (COVID-19) pandemic can have serious mental health effects on the population, especially in vulnerable groups, such as those living in poor socio-economic conditions, those who are homeless …;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7409736/;https://scholar.google.com/scholar?q=related:V3lF9V5sAGAJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
