Cites;Authors;title;Year;Source;Publisher;ArticleURL;CitesURL;GSRank;QueryDate;Type;DOI;ISSN;CitationURL;Volume;Issue;StartPage;EndPage;ECC;CitesPerYear;CitesPerAuthor;AuthorCount;Age;Abstract;FullTextURL;RelatedURL
154;B Prideaux, M Thompson, A Pabel;lessons from covid-19 can prepare global tourism for the economic transformation needed to combat climate change;2020;Tourism Geographies;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/14616688.2020.1762117;https://scholar.google.com/scholar?cites=14790239485417095436&as_sdt=2005&sciodt=2007&hl=en;2;16.12.2021 01:42;;10.1080/14616688.2020.1762117;;;;;;;154;15400;51;3;1;The COVID-19 pandemic led to the cessation of almost all international travel in the first half of 2020. A return to pre-pandemic growth patterns will take time and depend on the depth and extent of the recession sparked by COVID-19. The recovery phase will overlap with …;;https://scholar.google.com/scholar?q=related:DAE-L3N8Qc0J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
51;U Khalid, LE Okafor, K Burzynska;does the size of the tourism sector influence the economic policy response to the covid-19 pandemic;2021;Current Issues in Tourism;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/13683500.2021.1874311;https://scholar.google.com/scholar?cites=7290618464540659232&as_sdt=2005&sciodt=2007&hl=en;1;16.12.2021 01:42;;10.1080/13683500.2021.1874311;;;;;;;51;5100;17;3;1;The COVID-19 pandemic has resulted in an unprecedented slowdown of economic activity worldwide, with an especially negative impact on the tourism sector. The adoption of international travel restrictions to contain the spread of the COVID-19 outbreak has brought …;;https://scholar.google.com/scholar?q=related:II7Zu916LWUJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
50;T Mariolis, N Rodousakis, G Soklis;the covid-19 multiplier effects of tourism on the greek economy;2020;Tourism Economics;journals.sagepub.com;https://journals.sagepub.com/doi/abs/10.1177/1354816620946547;https://scholar.google.com/scholar?cites=16791561422076756606&as_sdt=2005&sciodt=2007&hl=en;2;16.12.2021 01:34;;10.1177/1354816620946547;;;;;;;50;5000;17;3;1;Using a multisectoral model and data from the Supply and Use Tables, this article estimates the COVID-19 multiplier effects of tourism on gross domestic product (GDP), total employment, and trade balance of the Greek economy. The results indicate that a—not …;https://journals.sagepub.com/doi/full/10.1177/1354816620946547;https://scholar.google.com/scholar?q=related:fsIJ2yWcB-kJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economy&hl=en&as_sdt=2007
32;TD Pham, L Dwyer, JJ Su, T Ngo;covid-19 impacts of inbound tourism on australian economy;2021;Annals of Tourism Research;Elsevier;https://www.sciencedirect.com/science/article/pii/S0160738321000414;https://scholar.google.com/scholar?cites=13331067974636020945&as_sdt=2005&sciodt=2007&hl=en;5;16.12.2021 01:34;;;;;;;;;32;3200;8;4;1;The pandemic COVID-19 has severely impacted upon the world economy, devastating the tourism industry globally. This paper estimates the short-run economic impacts of the inbound tourism industry on the Australian economy during the pandemic. The analysis …;https://e-tarjome.com/storage/panel/fileuploads/2021-05-11/1620718495_E15375.pdf;https://scholar.google.com/scholar?q=related:0STEILF3AbkJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economy&hl=en&as_sdt=2007
28;A Thams, N Zech, D Rempel, A Ayia-Koi;an initial assessment of economic impacts and operational challenges for the tourism  hospitality industry due to covid-19;2020;;econstor.eu;https://www.econstor.eu/handle/10419/216762;https://scholar.google.com/scholar?cites=9743715276539969388&as_sdt=2005&sciodt=2007&hl=en;1;16.12.2021 01:44;;;;;;;;;28;2800;7;4;1;The tourism and hospitality industry currently faces one of its most serious operational, commercial, and financial crises as a result of the worldwide spread of COVID-19. Both destinations and source markets are substantially affected and have suspended operations …;https://www.econstor.eu/bitstream/10419/216762/1/1696970539.pdf;https://scholar.google.com/scholar?q=related:bD-2amuhOIcJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:hospitality+intitle:economic&hl=en&as_sdt=2007
24;WM Lim, WM To;the economic impact of a global pandemic on the tourism economy the case of covid-19 and macaos destination-and gambling-dependent economy;2021;Current Issues in Tourism;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/13683500.2021.1910218;https://scholar.google.com/scholar?cites=8258173980697902190&as_sdt=2005&sciodt=2007&hl=en;7;16.12.2021 01:42;;10.1080/13683500.2021.1910218;;;;;;;24;2400;12;2;1;Availability of full-year economic data is indicative of an opportune time to compare and contrast predicted and actual economic impact. In this regard, this study delineates the impact of the COVID-19 pandemic on the gambling industry using Macao, the world's largest …;;https://scholar.google.com/scholar?q=related:bjzfVHvtmnIJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
23;C Breisinger, A Abdelatif, M Raouf, M Wiebelt;covid-19 and the egyptian economy estimating the impacts of expected reductions in tourism suez canal revenues and remittances;2020;;books.google.com;https://books.google.com/books?hl=en&lr=&id=NUjaDwAAQBAJ&oi=fnd&pg=PA3&dq=%22covid+19%22+tourism+economy&ots=_h4zr7Fvm2&sig=hry8JfSINv1XKqNssXupMKuz9q4;https://scholar.google.com/scholar?cites=414036099108638691&as_sdt=2005&sciodt=2007&hl=en;3;16.12.2021 01:34;BOOK;;;;;;;;23;2300;6;4;1;Egypt's recent economic success will almost certainly be interrupted by the COVID-19 pandemic. We examine the likely impact on the Egyptian economy of a significant reduction in tourism, payments received from the Suez Canal, and remittances from Egyptians working …;https://books.google.com/books?hl=en&lr=&id=NUjaDwAAQBAJ&oi=fnd&pg=PA3&dq=%22covid+19%22+tourism+economy&ots=_h4zr7Fvm2&sig=hry8JfSINv1XKqNssXupMKuz9q4;https://scholar.google.com/scholar?q=related:4w-Pc6PzvgUJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economy&hl=en&as_sdt=2007
17;O Anguera-Torrell, JP Aznar-Alarcón, ...;covid-19 hotel industry response to the pandemic evolution and to the public sector economic measures;2020;Tourism Recreation …;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/02508281.2020.1826225;https://scholar.google.com/scholar?cites=5506682304993854510&as_sdt=2005&sciodt=2007&hl=en;1;16.12.2021 01:45;;10.1080/02508281.2020.1826225;;;;;;;17;1700;6;3;1;The hotel industry is one of the most negatively impacted economic sectors by the COVID-19. Its recovery relies on the capacity to control the pandemic and to the macroeconomic efficiency of the policies undertaken by public institutions to enhance general economic …;;https://scholar.google.com/scholar?q=related:LoQWeGGqa0wJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:hotel+intitle:economic&hl=en&as_sdt=2007
17;Y Kitamura, S Karkour, Y Ichisugi, N Itsubo;evaluation of the economic environmental and social impacts of the covid-19 pandemic on the japanese tourism industry;2020;Sustainability;mdpi.com;https://www.mdpi.com/919042;https://scholar.google.com/scholar?cites=2861390560015888594&as_sdt=2005&sciodt=2007&hl=en;6;16.12.2021 01:42;;;;;;;;;17;1700;4;4;1;Abstract According to the United Nations Environment Program (UNEP) annual Emissions Gap Report 2019, further reductions in greenhouse gas (GHG) emissions are needed to reduce climate change impacts. In Japan, the 2030 Intended Nationally Determined …;https://www.mdpi.com/2071-1050/12/24/10302/pdf;https://scholar.google.com/scholar?q=related:0jBn1Y2ztScJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
14;OV Liulov, YO Us, TV Pimonenko, OS Kvilinskyi, ...;the link between economic growth and tourism covid-19 impact;2020;;essuir.sumdu.edu.ua;https://essuir.sumdu.edu.ua/handle/123456789/83836;https://scholar.google.com/scholar?cites=268854076383898495&as_sdt=2005&sciodt=2007&hl=en;4;16.12.2021 01:42;;;;;;;;;14;1400;3;5;1;This paper deals with the investigation of the relationship between tourism and economic growth. The research theoretically proved modern tourism was a widespread dynamic industry with high impact on economic development, damaged by COVID-19 crisis. This …;https://essuir.sumdu.edu.ua/bitstream/123456789/83836/1/Liulov_pandemic.pdf;https://scholar.google.com/scholar?q=related:fytHp1spuwMJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
