Cites;Authors;title;Year;Source;Publisher;ArticleURL;CitesURL;GSRank;QueryDate;Type;DOI;ISSN;CitationURL;Volume;Issue;StartPage;EndPage;ECC;CitesPerYear;CitesPerAuthor;AuthorCount;Age;Abstract;FullTextURL;RelatedURL
269;M de Haas, R Faber, M Hamersma;how covid-19 and the dutch intelligent lockdownchange activities work and travel behaviour evidence from longitudinal data in the netherlands;2020;Transportation Research …;Elsevier;https://www.sciencedirect.com/science/article/pii/S2590198220300610;https://scholar.google.com/scholar?cites=12714461507559825786&as_sdt=2005&sciodt=2007&hl=en;5;16.12.2021 01:40;HTML;;;;;;;;269;26900;90;3;1;COVID-19 has massively affected the lives of people all over the world. This paper presents first insights in current and potential future effects of the virus and the Dutch government's 'intelligent lockdown'on people's activities and travel behaviour. Findings are based on a …;https://www.sciencedirect.com/science/article/pii/S2590198220300610;https://scholar.google.com/scholar?q=related:eiF7hGDXcrAJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel+intitle:lockdown&hl=en&as_sdt=2007
128;S Jain, T Sharma;social and travel lockdown impact considering coronavirus disease covid-19 on air quality in megacities of india present benefits future challenges and ;2020;Aerosol and Air Quality Research;aaqr.org;https://aaqr.org/articles/aaqr-20-04-covid-0171?rCH=2;https://scholar.google.com/scholar?cites=12877145131848767342&as_sdt=2005&sciodt=2007&hl=en;1;16.12.2021 01:40;HTML;;;;;;;;128;12800;64;2;1;ABSTRACT The coronavirus disease (COVID-19) created enormous pressure across the globe due to an increasing number of COVID-19 infected cases. All the governments' primary focus is to save humanity from this pandemic problem, and they have lockdown …;https://aaqr.org/articles/aaqr-20-04-covid-0171?rCH=2;https://scholar.google.com/scholar?q=related:bhf_eEXPtLIJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel+intitle:lockdown&hl=en&as_sdt=2007
52;TH Oum, K Wang;socially optimal lockdown and travel restrictions for fighting communicable virus including covid-19;2020;Transport Policy;Elsevier;https://www.sciencedirect.com/science/article/pii/S0967070X20305643;https://scholar.google.com/scholar?cites=17562308765331005193&as_sdt=2005&sciodt=2007&hl=en;2;16.12.2021 01:40;;;;;;;;;52;5200;26;2;1;This paper examines the socially optimal lockdown and travel (social activity) restriction policies for communicable virus including COVID-19. In our simple model, we exploit the remarkable similarity in the structure of external costs causing market failure between the …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7346821/;https://scholar.google.com/scholar?q=related:CZ9I4cXaufMJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel+intitle:lockdown&hl=en&as_sdt=2007
44;H Seraphin, F Dosquet;mountain tourism and second home tourism as post covid-19 lockdown placebo;2020;Worldwide hospitality and tourism themes;emerald.com;https://www.emerald.com/insight/content/doi/10.1108/WHATT-05-2020-0027/full/html;https://scholar.google.com/scholar?cites=7963272276307139135&as_sdt=2005&sciodt=2007&hl=en;1;16.12.2021 01:33;;10.1108/WHATT-05-2020-0027;;;;;;;44;4400;22;2;1;Purpose The purpose of this study adopts a news media narrative approach to Yield insights on aspects of the COVID-19 impact. Design/methodology/approach This study adopts a news media narrative approach as this method can yield insights on aspects of the COVID …;;https://scholar.google.com/scholar?q=related:P9oAr_E5g24J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:lockdown&hl=en&as_sdt=2007
31;D Carrington;uk road travel falls to 1955 levels as covid-19 lockdown takes hold;2020;The Guardian;;;https://scholar.google.com/scholar?cites=16379106134309426644&as_sdt=2005&sciodt=2007&hl=en;19;16.12.2021 01:40;CITATION;;;;;;;;31;3100;31;1;1;;;https://scholar.google.com/scholar?q=related:1FXvuT9GTuMJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel+intitle:lockdown&hl=en&as_sdt=2007
22;R Steffen, S Lautenschlager, J Fehr;travel restrictions and lockdown during the covid-19 pandemicimpact on notified infectious diseases in switzerland;2020;Journal of Travel Medicine;academic.oup.com;https://academic.oup.com/jtm/article-pdf/doi/10.1093/jtm/taaa180/35282304/taaa180.pdf;https://scholar.google.com/scholar?cites=1520891623688162614&as_sdt=2005&sciodt=2007&hl=en;3;16.12.2021 01:40;;10.1093/jtm/taaa180/35282304/taaa180;;;;;;;22;2200;7;3;1;The COVID-19 pandemic declared by the World Health Organization on 11 March 2020 resulted in unprecedented travel restrictions. Among 217 destinations (countries and territories) accounted for by the World Tourism Organization 123 (57%) had introduced …;;https://scholar.google.com/scholar?q=related:Ns3Mq99KGxUJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel+intitle:lockdown&hl=en&as_sdt=2007
16;I Politis, G Georgiadis, E Papadopoulos, ...;covid-19 lockdown measures and travel behavior the case of thessaloniki greece;2021;Transportation Research …;Elsevier;https://www.sciencedirect.com/science/article/pii/S259019822100052X;https://scholar.google.com/scholar?cites=11240805086576712208&as_sdt=2005&sciodt=2007&hl=en;6;16.12.2021 01:40;HTML;;;;;;;;16;1600;4;4;1;In this paper, we investigate the travel behavior changes in Thessaloniki, Greece aiming to understand them and explore the factors that affect them under the COVID-19 mobility restriction measures. Socioeconomic and mobility data from two questionnaire surveys, one …;https://www.sciencedirect.com/science/article/pii/S259019822100052X;https://scholar.google.com/scholar?q=related:EBrPfqtc_5sJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel+intitle:lockdown&hl=en&as_sdt=2007
12;D Jarratt;an exploration of webcam-travel connecting to place and nature through webcams during the covid-19 lockdown of 2020;2021;Tourism and Hospitality Research;journals.sagepub.com;https://journals.sagepub.com/doi/abs/10.1177/1467358420963370;https://scholar.google.com/scholar?cites=12198121953764708252&as_sdt=2005&sciodt=2007&hl=en;4;16.12.2021 01:40;;10.1177/1467358420963370;;;;;;;12;1200;12;1;1;During the COVID-19 pandemic and subsequent lockdown of 2020, freedom to travel was restricted but there was a remarkable increase in webcam-travel, which can be defined as visiting place-based webcams online. Media commentators suggested that this technology …;https://journals.sagepub.com/doi/pdf/10.1177/1467358420963370;https://scholar.google.com/scholar?q=related:nA8K3UlvSKkJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel+intitle:lockdown&hl=en&as_sdt=2007
7;K Kuš?er, S Eichelberger, M Peters;tourism organizations responses to the covid-19 pandemic an investigation of the lockdown period;2021;Current Issues in Tourism;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/13683500.2021.1928010;https://scholar.google.com/scholar?cites=7967247271021073027&as_sdt=2005&sciodt=2007&hl=en;2;16.12.2021 01:33;;10.1080/13683500.2021.1928010;;;;;;;7;700;2;3;1;Tourism is facing an unprecedented crisis whose sheer scope is dictating global transformation of the industry. The aim of this paper is to explore how different countries and destinations responded to the initial blow of the COVID-19 pandemic, and what is expected …;https://www.tandfonline.com/doi/pdf/10.1080/13683500.2021.1928010;https://scholar.google.com/scholar?q=related:g1LpQi5ZkW4J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:lockdown&hl=en&as_sdt=2007
7;V Torrisi, T Campisi, G Inturri, M Ignaccolo, ...;continue to share an overview on italian travel behavior before and after the covid-19 lockdown;2021;AIP Conference …;aip.scitation.org;https://aip.scitation.org/doi/abs/10.1063/5.0048512;https://scholar.google.com/scholar?cites=1440586050150704670&as_sdt=2005&sciodt=2007&hl=en;12;16.12.2021 01:40;;10.1063/5.0048512;;;;;;;7;700;1;5;1;The mobility scenarios have been modified by the COVID-19 pandemic. Catastrophic and health events cause strong repercussions on daily activities and related mobility habits. In Italy, as in other contexts, we have witnessed a period of lockdown that has led to an almost …;https://aip.scitation.org/doi/pdf/10.1063/5.0048512;https://scholar.google.com/scholar?q=related:HqadS2H9_RMJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel+intitle:lockdown&hl=en&as_sdt=2007
