Country ISO3;Country Name;Indicator Id;Indicator;Subindicator Type;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028
ABW;Aruba;24637;Business Tourism Spending;Local currency in bn (Real prices);0.08;0.1;0.173527;0.192286;0.197999;0.18946;0.173785;0.141765;0.155927;0.150052;0.157613;0.172998;0.175569;0.159404;0.132734;0.136363;0.148607;0.159675;0.16085;0.191937;0.20811;0.226694;0.215645;0.220642;0.22418;0.229607;0.235504;0.240757;0.244426;0.246854;0.252176;0.255839;0.258734;0.264318
ABW;Aruba;24638;Business Tourism Spending;Local currency  _in bn (Nominal prices);0.05;0.06;0.110352;0.124631;0.131245;0.130668;0.126608;0.10795;0.121214;0.119162;0.129369;0.146154;0.156795;0.149238;0.127564;0.129733;0.145633;0.157715;0.155298;0.188603;0.208318;0.224895;0.215644;0.225054;0.23438;0.247255;0.261214;0.275051;0.28762;0.299191;0.314811;0.328963;0.342666;0.360563
ABW;Aruba;24639;Business Tourism Spending;% share;0.739281;0.915169;154.228;170.909;168.905;166.553;156.056;132.272;140.814;118.925;121.822;136.711;135.439;121.847;121.411;128.676;126.669;149.419;147.155;173.985;187.922;20.654;192.664;192.724;192.475;193.907;195.403;195.453;194.581;192.247;19.419;194.882;193.632;196.632
ABW;Aruba;24640;Business Tourism Spending;US$ in bn (Nominal prices);0.03;0.03;0.06;0.07;0.07;0.07;0.07;0.06;0.07;0.07;0.07;0.08;0.09;0.08;0.07;0.07;0.08;0.09;0.09;0.105365;0.116379;0.12564;0.120472;0.125729;0.130938;0.138131;0.14593;0.15366;0.160682;0.167146;0.175872;0.183778;0.191434;0.201432
ABW;Aruba;24641;Business Tourism Spending;US$ in bn (Real prices);0.05;0.05;0.1;0.107422;0.110614;0.105844;0.1;0.08;0.09;0.08;0.09;0.1;0.1;0.09;0.07;0.08;0.08;0.09;0.09;0.107227;0.116263;0.126645;0.120472;0.123263;0.12524;0.128272;0.131567;0.134501;0.136551;0.137907;0.140881;0.142927;0.144544;0.147664
ABW;Aruba;24642;Business Tourism Spending;% growth;10.286;389.421;31.793;-974.837;140.124;-915.269;-945.925;-123.501;257.015;-202.888;910.079;196.888;465.593;511.566;-823.928;602.857;238.457;520.829;838.875;106.353;653.958;161.005;-595.209;56.228;0.8219;130.012;133.127;198.414;116.202;114.758;144.693;1.294;0.780678;0.886357
ABW;Aruba;24643;Travel and Tourism direct contribution to employment;Thousands of jobs;680.041;845.976;856.248;947.106;925.892;100.514;943.622;942.714;910.449;100.564;101.022;985.197;106.151;111.408;109.356;116.515;110.212;130.906;143.542;153.111;151.898;149.863;145.307;144.052;145.088;146.507;148.657;150.301;151.941;152.416;15.285;153.366;153.893;154.167
ABW;Aruba;24644;Travel and Tourism direct contribution to employment;% share of total employment;174.818;210.421;209.639;229.258;221.886;239.749;223.874;222.217;217.551;230.548;226.191;220.289;231.383;242.838;248.203;266.014;245.829;292.355;311.271;329.343;32.401;320.704;30.146;299.062;301.235;305.053;308.124;312.858;317.701;320.642;324.245;325.478;330.439;335.278
ABW;Aruba;24645;Travel and Tourism direct contribution to employment;% growth;181.296;244.007;121.423;106.112;-223.984;855.885;-612.007;-0.1;-342.259;104.556;0.455544;-247.726;774.589;495.286;-184.202;654.645;-540.974;18.776;965.327;666.641;-0.792664;-133.976;-303.984;-0.863777;0.719093;0.977943;146.764;110.592;109.096;0.312767;0.284912;0.337753;0.343613;0.177887
ABW;Aruba;24646;Travel and Tourism direct contribution to GDP;Local currency  _in bn (Nominal prices);0.385279;0.488602;0.534215;0.616083;0.599184;0.698836;0.674752;0.683382;0.696138;0.802507;0.824297;0.835823;0.946166;104.406;100.375;103.285;104.465;117.808;127.103;137.417;140.103;139.426;137.027;140.869;148.551;157.353;167.167;177.298;188.014;197.844;208.129;216.977;226.213;235.454
ABW;Aruba;24647;Travel and Tourism direct contribution to GDP;Local currency in bn (Real prices);0.643772;0.79111;0.840047;0.950518;0.903944;101.326;0.926179;0.897445;0.895495;101.054;100.426;0.989336;105.946;111.518;104.443;108.564;106.598;119.272;131.647;139.846;139.963;140.541;137.027;138.107;142.086;146.122;150.714;155.191;159.779;163.235;16.672;168.745;170.805;172.604
ABW;Aruba;24648;Travel and Tourism direct contribution to GDP;Percentage share of total GDP;162.978;197.815;194.827;20.667;19.43;208.391;196.304;196.681;192.402;20.12;197.555;192.586;202.129;212.466;224.403;241.377;22.889;25.966;275.055;289.727;289.709;293.217;280.536;276.405;279.864;283.326;287.342;289.754;29.279;292.976;296.251;297.148;296.074;297.997
ABW;Aruba;24649;Travel and Tourism direct contribution to GDP;US$ in bn (Nominal prices);0.21524;0.272962;0.298444;0.34418;0.33474;0.390411;0.376956;0.381777;0.388904;0.448328;0.460501;0.46694;0.528585;0.583272;0.560757;0.577012;0.583605;0.658143;0.710071;0.767695;0.782699;0.778916;0.765511;0.786978;0.829891;0.87907;0.933894;0.990489;105.036;110.527;116.273;121.216;126.376;131.538
ABW;Aruba;24650;Travel and Tourism direct contribution to GDP;US$ in bn (Real prices);0.359649;0.441961;0.4693;0.531016;0.504997;0.566069;0.517418;0.501366;0.500277;0.564546;0.56104;0.552702;0.591877;0.623006;0.583483;0.606502;0.59552;0.666322;0.73546;0.781263;0.781918;0.785147;0.765511;0.771548;0.793775;0.816324;0.841976;0.866991;0.892617;0.911928;0.931398;0.942712;0.954218;0.96427
ABW;Aruba;24651;Travel and Tourism direct contribution to GDP;% growth;161.541;228.866;6.186;131.505;-489.988;120.937;-859.453;-31.024;-0.217293;128.469;-0.62104;-14.863;708.801;525.926;-634.385;394.507;-181.062;11.889;103.761;622.778;0.08;0.412964;-250.085;0.788536;288.087;284.072;314.234;297.105;295.576;216.338;213.503;121.467;122.055;105.343
ABW;Aruba;24652;Domestic Tourism Spending;Local currency  _in bn (Nominal prices);0.08;0.08;0.1;0.100061;0.11062;0.112508;0.115847;0.11069;0.120231;0.124708;0.13405;0.154893;0.169953;0.182278;0.169794;0.189396;0.202014;0.213262;0.206459;0.23472;0.246479;0.264889;0.269227;0.278601;0.287599;0.300726;0.314665;0.33007;0.344609;0.36;0.375628;0.390913;0.409288;0.427422
ABW;Aruba;24653;Domestic Tourism Spending;Local currency in bn (Real prices);0.127792;0.132856;0.150321;0.154379;0.166884;0.163129;0.159014;0.145363;0.154663;0.157036;0.163316;0.183341;0.190303;0.194695;0.176676;0.199075;0.206138;0.215912;0.213841;0.238869;0.246233;0.267008;0.269227;0.273138;0.275083;0.279261;0.283694;0.288916;0.292856;0.297026;0.300894;0.304017;0.309037;0.313331
ABW;Aruba;24654;Domestic Tourism Spending;% share;27.852;2.887;303.483;294.533;314.291;292.112;287.401;266.894;281.459;264.713;273.273;30.966;317.651;324.821;325.989;384.707;386.921;409.497;386.741;438.738;454.329;500.506;494.698;489.771;484.269;48.356;482.675;481.211;478.329;474.813;476.067;476.478;476.501;481.466
ABW;Aruba;24655;Domestic Tourism Spending;US$ in bn (Nominal prices);0.04;0.05;0.05;0.06;0.06;0.06;0.06;0.06;0.07;0.07;0.07;0.09;0.09;0.101831;0.09;0.105808;0.112857;0.119141;0.11534;0.131129;0.137698;0.147983;0.150406;0.155643;0.16067;0.168004;0.17579;0.184397;0.192519;0.201117;0.209848;0.218387;0.228652;0.238783
ABW;Aruba;24656;Domestic Tourism Spending;US$ in bn (Real prices);0.07;0.07;0.08;0.09;0.09;0.09;0.09;0.08;0.09;0.09;0.09;0.102425;0.106315;0.108768;0.1;0.111215;0.115161;0.120621;0.119464;0.133446;0.13756;0.149167;0.150406;0.152591;0.153678;0.156012;0.158488;0.161405;0.163607;0.165936;0.168097;0.169842;0.172646;0.175045
ABW;Aruba;24657;Domestic Tourism Spending;% growth;965.627;494.566;133.349;352.097;794.012;-286.131;-453.142;-101.889;756.848;149.212;448.543;14.511;466.523;23.987;-110.071;140.415;414.214;438.508;-159.212;14.407;364.698;929.514;0.723907;127.602;0.467979;143.515;151.473;180.412;127.792;13.482;12.726;0.996384;159.257;144.736
